first_day_of_month,DGS10_last
2018-02-01,2.72
2018-03-01,2.87
2018-04-01,2.74
2018-05-01,2.95
2018-06-01,2.83
2018-07-01,2.85
2018-08-01,2.96
2018-09-01,2.86
2018-10-01,3.05
2018-11-01,3.15
2018-12-01,3.01
2019-01-01,2.69
2019-02-01,2.63
2019-03-01,2.73
2019-04-01,2.41
2019-05-01,2.51
2019-06-01,2.14
2019-07-01,2.0
2019-08-01,2.02
2019-09-01,1.5
2019-10-01,1.68
2019-11-01,1.69
2019-12-01,1.78
2020-01-01,1.92
2020-02-01,1.51
2020-03-01,1.13
2020-04-01,0.7
2020-05-01,0.64
2020-06-01,0.65
2020-07-01,0.66
2020-08-01,0.55
2020-09-01,0.72
2020-10-01,0.69
2020-11-01,0.88
2020-12-01,0.84
2021-01-01,0.93
2021-02-01,1.11
2021-03-01,1.44
2021-04-01,1.74
2021-05-01,1.65
2021-06-01,1.58
2021-07-01,1.45
2021-08-01,1.24
2021-09-01,1.3
2021-10-01,1.52
2021-11-01,1.55
2021-12-01,1.43
2022-01-01,1.52
2022-02-01,1.79
2022-03-01,1.83
2022-04-01,2.32
2022-05-01,2.89
2022-06-01,2.85
2022-07-01,2.98
2022-08-01,2.67
2022-09-01,3.15
2022-10-01,3.83
2022-11-01,4.1
2022-12-01,3.68
2023-01-01,3.88
2023-02-01,3.79
